id,电影详情链接,图片链接,标题,标题2,评分,评价人数,一句话概述,其他信息
43,https://movie.douban.com/subject/1299398/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,9.0,921645,旷古烁今。,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...1995/中国香港中国大陆/喜剧爱情奇幻古装
44,https://movie.douban.com/subject/1293839/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,罗马假日,Roman Holiday,9.0,739430,爱情哪怕只有一天。,导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn/格...1953/美国/喜剧剧情爱情
45,https://movie.douban.com/subject/1298624/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,闻香识女人,Scent of a Woman,9.1,645944,史上最美的探戈。,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino/克里斯...1992/美国/剧情
46,https://movie.douban.com/subject/26752088/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,我不是药神,中国药神  /  印度药神,9.0,1587029,对我们国家而言，这样的电影多一部是一部。,导演:文牧野MuyeWen主演:徐峥ZhengXu/王传君ChuanjunWang/周...2018/中国大陆/剧情喜剧
47,https://movie.douban.com/subject/1291828/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg,天堂电影院,Nuovo Cinema Paradiso,9.2,494128,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:安东内拉·阿蒂利Anton...1988/意大利法国/剧情爱情
48,https://movie.douban.com/subject/21937445/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,辩护人,변호인,9.2,463500,电影的现实意义大过电影本身。,导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong/金英爱Yeong-ae...2013/韩国/剧情
49,https://movie.douban.com/subject/1292000/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,搏击俱乐部,Fight Club,9.0,659472,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton/布拉...1999/美国德国/剧情动作悬疑惊悚
50,https://movie.douban.com/subject/1418019/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,大闹天宫,大闹天宫 上下集  /  The Monkey King,9.3,301422,经典之作，历久弥新。,导演:万籁鸣LaimingWan/唐澄ChengTang主演:邱岳峰YuefengQiu/...1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻
51,https://movie.douban.com/subject/1299131/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,教父2,The Godfather: Part Ⅱ,9.2,394540,优雅的孤独。,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...1974/美国/剧情犯罪
52,https://movie.douban.com/subject/1305487/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,猫鼠游戏,Catch Me If You Can,9.0,632841,骗子大师和执著警探的你追我跑故事。,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...2002/美国加拿大/传记犯罪剧情
53,https://movie.douban.com/subject/1301753/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,狮子王,The Lion King,9.0,616042,动物版《哈姆雷特》。,导演:RogerAllers/罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...1994/美国/动画冒险歌舞
54,https://movie.douban.com/subject/1291548/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,死亡诗社,Dead Poets Society,9.1,525574,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams/罗伯...1989/美国/剧情
55,https://movie.douban.com/subject/1291572/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,9.1,523177,承前启后的史诗篇章。,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2002/美国新西兰/剧情动作奇幻冒险
56,https://movie.douban.com/subject/1296736/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,钢琴家,The Pianist,9.2,401303,音乐能化解仇恨。,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...2002/法国德国英国波兰/剧情传记历史战争音乐
57,https://movie.douban.com/subject/1900841/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,窃听风暴,Das Leben der Anderen,9.1,430432,别样人生。,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n...2006/德国/剧情悬疑
58,https://movie.douban.com/subject/1291571/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,指环王1：魔戒再现,The Lord of the Rings: The Fellowship of the Ring,9.0,588209,传说的开始。,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2001/新西兰美国/剧情动作奇幻冒险
59,https://movie.douban.com/subject/1291843/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,黑客帝国,The Matrix,9.0,596016,视觉革命。,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主...1999/美国澳大利亚/动作科幻
60,https://movie.douban.com/subject/1306029/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,美丽心灵,A Beautiful Mind,9.0,571971,爱是一切逻辑和原由。,导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe/艾德·哈...2001/美国/传记剧情
61,https://movie.douban.com/subject/1291818/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,饮食男女,飲食男女,9.1,434261,人生不能像做菜，把所有的料都准备好了才下锅。,导演:李安AngLee主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...1994/中国台湾美国/剧情家庭
62,https://movie.douban.com/subject/1293350/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,两杆大烟枪,"Lock, Stock and Two Smoking Barrels",9.1,461946,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,导演:GuyRitchie主演:JasonFlemyng/DexterFletcher/NickMoran1998/英国/剧情喜剧犯罪
63,https://movie.douban.com/subject/3742360/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,让子弹飞,让子弹飞一会儿  /  火烧云,8.8,1218513,你给我翻译翻译，神马叫做TMD的惊喜。,导演:姜文WenJiang主演:姜文WenJiang/葛优YouGe/周润发Yun-F...2010/中国大陆中国香港/剧情喜剧动作西部
64,https://movie.douban.com/subject/1292224/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,飞越疯人院,One Flew Over the Cuckoo's Nest,9.1,447889,自由万岁。,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...1975/美国/剧情
65,https://movie.douban.com/subject/1485260/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,本杰明·巴顿奇事,The Curious Case of Benjamin Button,8.9,743843,在时间之河里感受溺水之苦。,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett/...2008/美国/剧情爱情奇幻
66,https://movie.douban.com/subject/27060077/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,绿皮书,Green Book,8.9,1162055,去除成见，需要勇气。,导演:彼得·法雷里PeterFarrelly主演:维果·莫腾森ViggoMortensen/...2018/美国/剧情喜剧传记
